"TaxonKey","Country_Territory","Neighbor_Territory","Model_Index","Area_Index"
600362,"USA (East Coast)","Canada (East Coast)",100,0.102564102564103
600364,"USA (East Coast)","Bahamas",100,0.0925449871465296
600364,"USA (East Coast)","Cuba",100,0.0407608695652174
600364,"USA (East Coast)","USA (Gulf of Mexico)",100,0.466767371601208
600364,"USA (East Coast)","Canada (East Coast)",100,0.0407608695652174
600369,"USA (East Coast)","USA (Gulf of Mexico)",100,0.8
600378,"USA (East Coast)","Bahamas",100,0.100719424460432
600378,"USA (East Coast)","Cuba",100,0.0384615384615385
600378,"USA (East Coast)","USA (Gulf of Mexico)",100,0.505928853754941
600380,"USA (East Coast)","USA (Gulf of Mexico)",100,0.430769230769231
600385,"USA (East Coast)","Bahamas",100,0.0869565217391304
600385,"USA (East Coast)","Cuba",100,0.0454545454545455
600385,"USA (East Coast)","USA (Gulf of Mexico)",100,0.610079575596817
600387,"USA (East Coast)","Bahamas",100,0.302439024390244
600387,"USA (East Coast)","Cuba",100,0.00694444444444444
600387,"USA (East Coast)","USA (Gulf of Mexico)",100,0.430278884462151
600387,"USA (East Coast)","Canada (East Coast)",100,0.0205479452054795
600401,"USA (East Coast)","USA (Gulf of Mexico)",100,0.835616438356164
600405,"USA (East Coast)","USA (Gulf of Mexico)",100,0.450617283950617
600406,"USA (East Coast)","Canada (East Coast)",100,0.0337078651685393
600408,"USA (East Coast)","USA (Gulf of Mexico)",100,0.462765957446808
600410,"USA (East Coast)","USA (Gulf of Mexico)",100,0.4
600411,"USA (East Coast)","Bahamas",100,0.0326086956521739
600411,"USA (East Coast)","USA (Gulf of Mexico)",100,0.635245901639344
600412,"USA (East Coast)","USA (Gulf of Mexico)",100,0.694805194805195
600425,"USA (East Coast)","Bahamas",100,0.0368421052631579
600425,"USA (East Coast)","USA (Gulf of Mexico)",100,0.491666666666667
600425,"USA (East Coast)","Canada (East Coast)",100,0.0317460317460317
600429,"USA (East Coast)","USA (Gulf of Mexico)",100,0.495283018867925
600441,"USA (East Coast)","Bahamas",100,0.0227272727272727
600441,"USA (East Coast)","USA (Gulf of Mexico)",100,0.420875420875421
600441,"USA (East Coast)","Canada (East Coast)",100,0.0227272727272727
600452,"USA (East Coast)","Bahamas",100,0.0444444444444444
600452,"USA (East Coast)","Canada (East Coast)",100,0.0444444444444444
600458,"USA (East Coast)","Canada (East Coast)",100,0.00943396226415094
600480,"USA (East Coast)","Canada (East Coast)",100,0.833333333333333
600486,"USA (East Coast)","USA (Gulf of Mexico)",100,0.166666666666667
600492,"USA (East Coast)","Canada (East Coast)",100,0.0759493670886076
600501,"USA (East Coast)","Canada (East Coast)",100,0.940594059405941
600521,"USA (East Coast)","Canada (East Coast)",100,0.125
600524,"USA (East Coast)","Canada (East Coast)",100,0.5
600530,"USA (East Coast)","Canada (East Coast)",100,0.0909090909090909
600532,"USA (East Coast)","Canada (East Coast)",100,0.0625
600545,"USA (East Coast)","Bahamas",100,0.0451612903225806
600545,"USA (East Coast)","USA (Gulf of Mexico)",100,0.0326797385620915
600747,"USA (East Coast)","Bahamas",100,0.0292397660818713
600747,"USA (East Coast)","USA (Gulf of Mexico)",100,0.457516339869281
600747,"USA (East Coast)","Canada (East Coast)",100,0.0235294117647059
600751,"USA (East Coast)","Bahamas",100,0.0542635658914729
600751,"USA (East Coast)","USA (Gulf of Mexico)",100,0.0317460317460317
600751,"USA (East Coast)","Canada (East Coast)",100,0.0317460317460317
600752,"USA (East Coast)","Bahamas",100,0.0538461538461538
600752,"USA (East Coast)","USA (Gulf of Mexico)",100,0.433179723502304
600752,"USA (East Coast)","Canada (East Coast)",100,0.031496062992126
600785,"USA (East Coast)","Bahamas",100,0.0372340425531915
600785,"USA (East Coast)","USA (Gulf of Mexico)",100,0.41042345276873
600785,"USA (East Coast)","Canada (East Coast)",100,0.0320855614973262
600868,"USA (East Coast)","USA (Gulf of Mexico)",100,0.947368421052632
600874,"USA (East Coast)","USA (Gulf of Mexico)",100,0.492890995260663
600878,"USA (East Coast)","USA (Gulf of Mexico)",100,0.481481481481481
600880,"USA (East Coast)","Bahamas",100,0.037037037037037
600880,"USA (East Coast)","USA (Gulf of Mexico)",100,0.414790996784566
600880,"USA (East Coast)","Canada (East Coast)",100,0.0267379679144385
600886,"USA (East Coast)","USA (Gulf of Mexico)",100,0.454545454545455
600886,"USA (East Coast)","Canada (East Coast)",100,0.010989010989011
600898,"USA (East Coast)","Canada (East Coast)",100,0.0555555555555556
600912,"USA (East Coast)","Bahamas",100,0.15668202764977
600912,"USA (East Coast)","Cuba",100,0.0757575757575758
600912,"USA (East Coast)","USA (Gulf of Mexico)",100,0.602173913043478
600917,"USA (East Coast)","USA (Gulf of Mexico)",100,0.518072289156627
600917,"USA (East Coast)","Canada (East Coast)",100,0.0476190476190476
600972,"USA (East Coast)","Bahamas",100,0.0461538461538462
600972,"USA (East Coast)","USA (Gulf of Mexico)",100,0.659340659340659
601005,"USA (East Coast)","Bahamas",100,0.377622377622378
601005,"USA (East Coast)","Cuba",100,0.0111111111111111
601005,"USA (East Coast)","USA (Gulf of Mexico)",100,0.467065868263473
601005,"USA (East Coast)","Canada (East Coast)",100,0.0111111111111111
601043,"USA (East Coast)","USA (Gulf of Mexico)",100,0.744897959183674
601059,"USA (East Coast)","USA (Gulf of Mexico)",100,0.672897196261682
601077,"USA (East Coast)","Bahamas",100,0.111111111111111
601077,"USA (East Coast)","Cuba",100,0.138461538461538
601077,"USA (East Coast)","USA (Gulf of Mexico)",100,0.812709030100334
601079,"USA (East Coast)","Bahamas",100,0.0372340425531915
601079,"USA (East Coast)","USA (Gulf of Mexico)",100,0.41042345276873
601079,"USA (East Coast)","Canada (East Coast)",100,0.0320855614973262
601133,"USA (East Coast)","Bahamas",100,0.10625
601133,"USA (East Coast)","Cuba",100,0.0529801324503311
601133,"USA (East Coast)","USA (Gulf of Mexico)",100,0.635204081632653
601181,"USA (East Coast)","Canada (East Coast)",100,0.0178571428571429
601191,"USA (East Coast)","Bahamas",100,0.031390134529148
601191,"USA (East Coast)","USA (Gulf of Mexico)",100,0.465346534653465
601191,"USA (East Coast)","Canada (East Coast)",100,0.0357142857142857
601203,"USA (East Coast)","USA (Gulf of Mexico)",100,0.647058823529412
601205,"USA (East Coast)","USA (Gulf of Mexico)",100,0.75
601207,"USA (East Coast)","Bahamas",100,0.25
601207,"USA (East Coast)","USA (Gulf of Mexico)",100,0.478260869565217
601208,"USA (East Coast)","Bahamas",100,0.166666666666667
601208,"USA (East Coast)","USA (Gulf of Mexico)",100,0.428571428571429
601209,"USA (East Coast)","Bahamas",100,0.142857142857143
601209,"USA (East Coast)","USA (Gulf of Mexico)",100,0.7
601212,"USA (East Coast)","USA (Gulf of Mexico)",100,0.25
601213,"USA (East Coast)","USA (Gulf of Mexico)",100,0.259259259259259
601213,"USA (East Coast)","Canada (East Coast)",100,0.0476190476190476
601216,"USA (East Coast)","Bahamas",100,0.21875
601216,"USA (East Coast)","USA (Gulf of Mexico)",100,0.683544303797468
601235,"USA (East Coast)","Bahamas",100,0.326424870466321
601235,"USA (East Coast)","Cuba",100,0.0151515151515152
601235,"USA (East Coast)","USA (Gulf of Mexico)",100,0.444444444444444
601235,"USA (East Coast)","Canada (East Coast)",100,0.0151515151515152
601288,"USA (East Coast)","USA (Gulf of Mexico)",100,0.73134328358209
601338,"USA (East Coast)","Canada (East Coast)",100,0.0181818181818182
601343,"USA (East Coast)","Canada (East Coast)",100,0.85974025974026
601371,"USA (East Coast)","Canada (East Coast)",100,0.907488986784141
601381,"USA (East Coast)","Canada (East Coast)",100,0.764705882352941
601423,"USA (East Coast)","Bahamas",100,0.335329341317365
601423,"USA (East Coast)","Cuba",100,0.00892857142857143
601423,"USA (East Coast)","USA (Gulf of Mexico)",100,0.476415094339623
601455,"USA (East Coast)","USA (Gulf of Mexico)",100,0.514285714285714
601455,"USA (East Coast)","Canada (East Coast)",100,0.0403225806451613
601486,"USA (East Coast)","Bahamas",100,0.038961038961039
601486,"USA (East Coast)","Cuba",100,0.467625899280576
601486,"USA (East Coast)","USA (Gulf of Mexico)",100,0.447761194029851
601574,"USA (East Coast)","Bahamas",100,0.023121387283237
601574,"USA (East Coast)","Canada (East Coast)",100,0.0342857142857143
601582,"USA (East Coast)","Canada (East Coast)",100,0.0529595015576324
601583,"USA (East Coast)","Canada (East Coast)",100,0.720194647201946
601584,"USA (East Coast)","Canada (East Coast)",100,0.648936170212766
601592,"USA (East Coast)","Bahamas",100,0.0240384615384615
601592,"USA (East Coast)","Canada (East Coast)",100,0.0240384615384615
601604,"USA (East Coast)","Bahamas",100,0.0384615384615385
601604,"USA (East Coast)","USA (Gulf of Mexico)",100,0.418604651162791
601604,"USA (East Coast)","Canada (East Coast)",100,0.0112994350282486
601756,"USA (East Coast)","USA (Gulf of Mexico)",100,0.508264462809917
601918,"USA (East Coast)","USA (Gulf of Mexico)",100,0.454022988505747
601933,"USA (East Coast)","Bahamas",100,0.0372340425531915
601933,"USA (East Coast)","USA (Gulf of Mexico)",100,0.41042345276873
601933,"USA (East Coast)","Canada (East Coast)",100,0.0320855614973262
602498,"USA (East Coast)","Bahamas",100,0.0535714285714286
602498,"USA (East Coast)","USA (Gulf of Mexico)",100,0.670807453416149
602501,"USA (East Coast)","Canada (East Coast)",100,0.715686274509804
602530,"USA (East Coast)","Canada (East Coast)",100,0.0659340659340659
602532,"USA (East Coast)","Bahamas",100,0.0945945945945946
602532,"USA (East Coast)","Cuba",100,0.0563380281690141
602532,"USA (East Coast)","USA (Gulf of Mexico)",100,0.652849740932642
602535,"USA (East Coast)","USA (Gulf of Mexico)",100,0.562874251497006
602535,"USA (East Coast)","Canada (East Coast)",100,0.051948051948052
602557,"USA (East Coast)","Canada (East Coast)",100,0.424242424242424
602561,"USA (East Coast)","Canada (East Coast)",100,0.0784313725490196
602572,"USA (East Coast)","Bahamas",100,0.0921052631578947
602572,"USA (East Coast)","USA (Gulf of Mexico)",100,0.651515151515151
603574,"USA (East Coast)","USA (Gulf of Mexico)",100,0.5
603672,"USA (East Coast)","Canada (East Coast)",100,0.549019607843137
604239,"USA (East Coast)","Canada (East Coast)",100,0.913827655310621
607327,"USA (East Coast)","USA (Gulf of Mexico)",100,0.396984924623116
607327,"USA (East Coast)","Canada (East Coast)",100,0.024390243902439
608816,"USA (East Coast)","Bahamas",100,0.0810810810810811
608816,"USA (East Coast)","USA (Gulf of Mexico)",100,0.654822335025381
690009,"USA (East Coast)","Bahamas",100,0.039344262295082
690009,"USA (East Coast)","USA (Gulf of Mexico)",100,0.300715990453461
690009,"USA (East Coast)","Canada (East Coast)",100,0.490434782608696
690010,"USA (East Coast)","Canada (East Coast)",100,0.694174757281553
690011,"USA (East Coast)","Canada (East Coast)",100,0.682352941176471
690029,"USA (East Coast)","Canada (East Coast)",100,0.036144578313253
690030,"USA (East Coast)","Bahamas",100,0.0274509803921569
690030,"USA (East Coast)","Cuba",100,0.0158730158730159
690030,"USA (East Coast)","USA (Gulf of Mexico)",100,0.493877551020408
690030,"USA (East Coast)","Canada (East Coast)",100,0.0350194552529183
690031,"USA (East Coast)","Canada (East Coast)",100,0.597560975609756
690033,"USA (East Coast)","Canada (East Coast)",100,0.0277777777777778
690052,"USA (East Coast)","Bahamas",100,0.0483870967741935
690052,"USA (East Coast)","Cuba",100,0.0133779264214047
690052,"USA (East Coast)","USA (Gulf of Mexico)",100,0.300947867298578
690052,"USA (East Coast)","Canada (East Coast)",100,0.0296052631578947
690065,"USA (East Coast)","USA (Gulf of Mexico)",100,0.0555555555555556
690071,"USA (East Coast)","Bahamas",100,0.585585585585586
690071,"USA (East Coast)","Cuba",100,0.619834710743802
690071,"USA (East Coast)","USA (Gulf of Mexico)",100,0.689189189189189
690270,"USA (East Coast)","Bahamas",100,0.0429447852760736
690270,"USA (East Coast)","Cuba",100,0.0157728706624606
690270,"USA (East Coast)","USA (Gulf of Mexico)",100,0.290909090909091
690270,"USA (East Coast)","Canada (East Coast)",100,0.04
690271,"USA (East Coast)","Canada (East Coast)",100,0.993377483443709
690275,"USA (East Coast)","Canada (East Coast)",100,0.25
