observation,tot.x,mean(value).x,sd(value).x,tot.y,mean(value).y,sd(value).y
Category C,3718,25.12162162162162,20.397380585933586,1619,12.453846153846154,14.614483385577156
Category B,2068,14.164383561643836,13.609341313843718,871,6.858267716535433,7.7641058617538805
No Category,1407,10.422222222222222,19.668319350408456,776,6.015503875968992,11.389403309740931
Category A,1155,8.191489361702128,7.935377291972793,419,3.952830188679245,3.7679906871578828
