"TaxonKey","Country_Territory","Neighbor_Territory","Model_Index","Area_Index","CT_fishing_entity","NT_fishing_entity","n()","Same_Nation"
600006,"Bonaire (Netherlands)","Venezuela",100,0.91304347826087,"Bonaire (Netherlands)","Venezuela",2,"No"
600006,"Brazil","French Guiana",100,0.00311203319502075,"Brazil","French Guiana",2,"No"
600006,"Brazil","Uruguay",100,0.00311203319502075,"Brazil","Uruguay",2,"No"
600006,"Brazil","Brazil (Fernando de Noronha)",100,0.0233739837398374,"Brazil","Brazil (Fernando de Noronha)",NA,"No"
600006,"Brazil (Fernando de Noronha)","Brazil",100,0.976626016260163,"Brazil (Fernando de Noronha)","Brazil",1,"No"
600006,"British Virgin Isl. (UK)","Puerto Rico (USA)",100,0.842105263157895,"British Virgin Isl. (UK)","Puerto Rico (USA)",2,"No"
600006,"British Virgin Isl. (UK)","Anguilla (UK)",100,0.4,"British Virgin Isl. (UK)","Anguilla (UK)",2,"No"
600006,"Brunei Darussalam","China",100,0.985176738882554,"Brunei Darussalam","China",2,"No"
600006,"Brunei Darussalam","Taiwan",100,0.974103585657371,"Brunei Darussalam","Taiwan",2,"No"
600006,"Brunei Darussalam","Malaysia (Sabah)",100,0.723404255319149,"Brunei Darussalam","Malaysia",4,"No"
600006,"Brunei Darussalam","Malaysia (Sarawak)",100,0.59375,"Brunei Darussalam","Malaysia",4,"No"
600006,"Brunei Darussalam","Philippines",100,0.985854189336235,"Brunei Darussalam","Philippines",2,"No"
600006,"Cameroon","Equatorial Guinea",100,0.75,"Cameroon","Equatorial Guinea",2,"No"
600006,"Cameroon","Nigeria",100,0.25,"Cameroon","Nigeria",2,"No"
600006,"Canada (East Coast)","USA (East Coast)",100,0.929347826086957,"Canada","USA",3,"No"
600006,"Cape Verde","Gambia",100,0.00649350649350649,"Cape Verde","Gambia",2,"No"
600006,"Cape Verde","Mauritania",100,0.0285714285714286,"Cape Verde","Mauritania",2,"No"
600006,"Cape Verde","Senegal",100,0.0285714285714286,"Cape Verde","Senegal",2,"No"
600006,"Cayman Isl. (UK)","Cuba",100,0.416666666666667,"Cayman Isl. (UK)","Cuba",2,"No"
600006,"Cayman Isl. (UK)","Jamaica",100,0.78125,"Cayman Isl. (UK)","Jamaica",2,"No"
600006,"Cayman Isl. (UK)","Honduras (Caribbean)",100,0.879310344827586,"Cayman Isl. (UK)","Honduras",2,"No"
600006,"China","Brunei Darussalam",100,0.0148232611174458,"China","Brunei Darussalam",2,"No"
600006,"China","Taiwan",100,0.361419068736142,"China","Taiwan",2,"No"
600006,"China","Hong Kong (China)",100,0.00460829493087558,"China","Hong Kong",1,"No"
600006,"China","Japan (main islands)",100,0.479204339963834,"China","Japan",2,"No"
600006,"China","Korea (North)",100,0.0431893687707641,"China","Korea (North)",4,"No"
600006,"China","Korea (South)",100,0.220216606498195,"China","Korea (South)",2,"No"
600006,"China","Malaysia (Sabah)",100,0.0378619153674833,"China","Malaysia",4,"No"
600006,"China","Malaysia (Sarawak)",100,0.0215175537938845,"China","Malaysia",4,"No"
600006,"China","Philippines",100,0.511864406779661,"China","Philippines",2,"No"
600006,"China","Indonesia (Central)",100,0.115660184237462,"China","Indonesia",3,"No"
600006,"Christmas Isl. (Australia)","Indonesia (Indian Ocean)",100,0.910662824207493,"Christmas Isl. (Australia)","Indonesia",3,"No"
600006,"Colombia (Caribbean)","Dominican Republic",100,0.164948453608247,"Colombia","Dominican Republic",2,"No"
600006,"Colombia (Caribbean)","Haiti",100,0.151832460732984,"Colombia","Haiti",2,"No"
600006,"Colombia (Caribbean)","Jamaica",100,0.235849056603774,"Colombia","Jamaica",2,"No"
600006,"Colombia (Caribbean)","Venezuela",100,0.114754098360656,"Colombia","Venezuela",2,"No"
600006,"Colombia (Caribbean)","Nicaragua (Caribbean)",100,0.19,"Colombia","Nicaragua",2,"No"
600006,"Colombia (Caribbean)","Panama (Caribbean)",100,0.0581395348837209,"Colombia","Panama",2,"No"
600006,"Colombia (Pacific)","Ecuador",100,0.285714285714286,"Colombia","Ecuador",1,"No"
600006,"Colombia (Pacific)","Costa Rica (Pacific)",100,0.514767932489452,"Colombia","Costa Rica",2,"No"
600006,"Colombia (Pacific)","Panama (Pacific)",100,0.262820512820513,"Colombia","Panama",2,"No"
600006,"Comoros Isl.","Mayotte (France)",100,0.8,"Comoros","Mayotte (France)",2,"No"
600006,"Cook Islands","American Samoa",100,0.291525423728814,"Cook Islands","American Samoa",2,"No"
600006,"Cook Islands","French Polynesia",100,0.778366914103924,"Cook Islands","French Polynesia",2,"No"
600006,"Cook Islands","Niue (New Zealand)",100,0.23302752293578,"Cook Islands","Niue (New Zealand)",2,"No"
600006,"Cook Islands","Tokelau (New Zealand)",100,0.238615664845173,"Cook Islands","Tokelau (New Zealand)",2,"No"
600006,"Cook Islands","Kiribati (Line Islands)",100,0.552941176470588,"Cook Islands","Kiribati",3,"No"
600006,"Corsica (France)","Italy",100,0.919191919191919,"Corsica (France)","Italy",1,"No"
600006,"Corsica (France)","Sardinia (Italy)",100,0.822222222222222,"Corsica (France)","Sardinia (Italy)",NA,"No"
600006,"Corsica (France)","France (Mediterranean)",100,0.448275862068966,"Corsica (France)","France",2,"No"
600006,"Costa Rica (Pacific)","Galapagos Isl. (Ecuador)",100,0.401960784313726,"Costa Rica","Galapagos Isl. (Ecuador)",NA,"No"
600006,"Costa Rica (Pacific)","Colombia (Pacific)",100,0.485232067510549,"Costa Rica","Colombia",2,"No"
600006,"Costa Rica (Pacific)","Nicaragua (Pacific)",100,0.170068027210884,"Costa Rica","Nicaragua",2,"No"
600006,"Costa Rica (Pacific)","Panama (Pacific)",100,0.251533742331288,"Costa Rica","Panama",2,"No"
600006,"Crete (Greece)","Greece",100,0.621621621621622,"Crete (Greece)","Greece",1,"No"
600006,"Crete (Greece)","Libya",100,0.925925925925926,"Crete (Greece)","Libya",2,"No"
600006,"Crete (Greece)","Egypt (Mediterranean)",100,0.76271186440678,"Crete (Greece)","Egypt",2,"No"
600006,"Croatia","Italy",100,0.968085106382979,"Croatia","Italy",1,"No"
600006,"Croatia","Montenegro",100,0.333333333333333,"Croatia","Montenegro",2,"No"
600006,"Cuba","Bahamas",100,0.912280701754386,"Cuba","Bahamas",2,"No"
600006,"Cuba","Cayman Isl. (UK)",100,0.583333333333333,"Cuba","Cayman Isl. (UK)",2,"No"
600006,"Cuba","Haiti",100,0.743589743589744,"Cuba","Haiti",2,"No"
600006,"Cuba","Jamaica",100,0.833333333333333,"Cuba","Jamaica",2,"No"
600006,"Cuba","USA (East Coast)",100,0.94475138121547,"Cuba","USA",3,"No"
600006,"Cuba","USA (Gulf of Mexico)",100,0.926470588235294,"Cuba","USA",3,"No"
600006,"Cuba","Honduras (Caribbean)",100,0.910714285714286,"Cuba","Honduras",2,"No"
600006,"Cuba","Mexico (Atlantic)",100,0.5,"Cuba","Mexico",2,"No"
600006,"Cyprus (North)","Cyprus (South)",100,0.974358974358974,"Cyprus (North)","Cyprus (South)",NA,"No"
600006,"Cyprus (North)","Syria",100,0.8,"Cyprus (North)","Syrian Arab Republic",1,"No"
600006,"Cyprus (North)","Turkey (Mediterranean Sea)",100,0.8,"Cyprus (North)","Turkey",3,"No"
600006,"Cyprus (South)","Cyprus (North)",100,0.0256410256410256,"Cyprus (South)","Cyprus (North)",NA,"No"
600006,"Cyprus (South)","Greece",100,0.377049180327869,"Cyprus (South)","Greece",1,"No"
600006,"Cyprus (South)","Lebanon",100,0.208333333333333,"Cyprus (South)","Lebanon",2,"No"
600006,"Cyprus (South)","Syria",100,0.0952380952380952,"Cyprus (South)","Syrian Arab Republic",1,"No"
600006,"Cyprus (South)","Turkey (Mediterranean Sea)",100,0.0952380952380952,"Cyprus (South)","Turkey",3,"No"
600006,"Cyprus (South)","Egypt (Mediterranean)",100,0.542168674698795,"Cyprus (South)","Egypt",2,"No"
600006,"Cyprus (South)","Israel (Mediterranean)",100,0.309090909090909,"Cyprus (South)","Israel",2,"No"
600006,"Dominica","Martinique (France)",100,0.545454545454545,"Dominica","Martinique (France)",2,"No"
600006,"Dominica","Venezuela",100,0.807692307692308,"Dominica","Venezuela",2,"No"
600006,"Dominican Republic","Haiti",100,0.475409836065574,"Dominican Republic","Haiti",2,"No"
600006,"Dominican Republic","Puerto Rico (USA)",100,0.333333333333333,"Dominican Republic","Puerto Rico (USA)",2,"No"
600006,"Dominican Republic","Turks & Caicos Isl. (UK)",100,0.0857142857142857,"Dominican Republic","Turks & Caicos Isl. (UK)",2,"No"
600006,"Dominican Republic","Venezuela",100,0.39622641509434,"Dominican Republic","Venezuela",2,"No"
600006,"Dominican Republic","Colombia (Caribbean)",100,0.835051546391753,"Dominican Republic","Colombia",2,"No"
