TaxonKey,TaxonName,DemPel
607111,Cryodraco antarcticus,Demersal
607113,Neopagetopsis ionah,Demersal
607117,Paradiplospinus gracilis,Demersal
607120,Mancopsetta maculata antarctica,Demersal
607124,Muraenolepis marmoratus,Demersal
607126,Muraenolepis microps,Pelagic
607132,Caelorinchus marinii,Demersal
607136,Cynomacrurus piriei,Demersal
607137,Macrourus carinatus,Demersal
607138,Macrourus holotrachys,Demersal
607139,Macrourus whitsoni,Pelagic
607145,Lampris immaculatus,Pelagic
607151,Pseudocyttus maculatus,Demersal
607152,Zanclorhynchus spinifer,Demersal
607327,Balistes capriscus,Demersal
607354,Epinephelus multinotatus,Demersal
607366,Epinephelus summana,Demersal
607430,Plectropomus pessuliferus,Demersal
607614,Leucoraja circularis,Demersal
607616,Dipturus oxyrinchus,Demersal
607617,Raja undulata,Demersal
607618,Mobula mobular,Pelagic
607619,Leucoraja fullonica,Demersal
607620,Micropogonias furnieri,Demersal
607703,Plectorhinchus gaterinus,Demersal
607706,Plectorhinchus schotaf,Demersal
607708,Pomadasys stridens,Demersal
607903,Pomacanthus maculosus,Demersal
607931,Crenidens crenidens,Demersal
607945,Pelates quadrilineatus,Demersal
608092,Parapristipoma octolineatum,Demersal
608166,Rhabdosargus haffara,Demersal
608172,Odontesthes regia,Pelagic
608173,Girella tricuspidata,Demersal
608315,Plectorhinchus pictus,Demersal
608390,Seriolella porosa,Demersal
608421,Bregmaceros mcclellandi,Pelagic
608483,Lepidorhynchus denticulatus,Pelagic
608490,Rexea solandri,Demersal
608540,Aphanopus intermedius,Demersal
608556,Pseudopleuronectes herzensteini,Demersal
608816,Cephalopholis fulva,Demersal
608852,Solea senegalensis,Demersal
608924,Raja asterias,Demersal
608991,Spectrunculus grandis,Demersal
609000,Hydrolagus mirabilis,Demersal
609005,Rhinochimaera atlantica,Demersal
609146,Neocyttus rhomboidalis,Demersal
609256,Amblyraja hyperborea,Demersal
609907,Gerres nigri,Demersal
609908,Plectorhinchus macrolepis,Demersal
610106,Nemadactylus macropterus,Demersal
610190,Schedophilus pemarco,Demersal
610220,Arius thalassinus,Demersal
610238,Benthosema pterotum,Pelagic
610256,Lophius vomerinus,Demersal
610301,Takifugu vermicularis,Demersal
610307,Cheilopogon agoo,Pelagic
610308,Patagonotothen ramsayi,Demersal
610676,Cyttus traversi,Demersal
611820,Abudefduf luridus,Demersal
612005,Paratrachichthys trailli,Pelagic
612354,Paristiopterus labiosus,Demersal
612357,Pentaceros decacanthus,Demersal
612917,Prolatilus jugularis,Demersal
612918,Seriolella brama,Demersal
612919,Seriolella caerulea,Pelagic
612920,Kathetostoma giganteum,Demersal
612922,Seriolella punctata,Demersal
612962,Allocyttus niger,Demersal
613025,Sparisoma cretense,Demersal
613135,Hyporhamphus ihi,Demersal
613139,Meuschenia scaber,Demersal
613144,Dipturus nasutus,Demersal
613146,Hydrolagus novaezealandiae,Demersal
613664,Pennahia anea,Demersal
614063,Mullus argentinae,Demersal
614129,Centroberyx affinis,Demersal
614242,Centriscops humerosus,Demersal
614282,Nemadactylus monodactylus,Demersal
614290,Thunnus orientalis,Pelagic
614327,Pterygotrigla picta,Demersal
614354,Lepidoperca pulchella,Demersal
614383,Scarus persicus,Demersal
614575,Cyttus novaezealandiae,Demersal
615483,Himantura gerrardi,Demersal
616720,Symbolophorus barnardi,Pelagic
622620,Spaniblennius riodourensis,Demersal
622687,Alepocephalus umbriceps,Demersal
624237,Lepidopsetta bilineata,Demersal
628128,Grammoplites suppositus,Demersal
646376,Liza klunzingeri,Demersal
648134,Clupea harengus membras,Pelagic
648382,Sprattus sprattus balticus,Pelagic
649232,Capromimus abbreviatus,Demersal
650136,Pseudopercis semifasciata,Demersal
657505,Bathyraja irrasa,Demersal
657506,Chelon haematocheilus,Demersal
690003,Pandalus montagui,Demersal
690005,Acetes japonicus,Demersal
690009,Crassostrea virginica,Demersal
690010,Homarus americanus,Demersal
690011,Placopecten magellanicus,Demersal
690013,Metanephrops andamanicus,Demersal
690016,Euphausia superba,Pelagic
690018,Paralomis spinosissima,Demersal
690022,Pleoticus muelleri,Demersal
690023,Illex argentinus,Pelagic
690024,Artemesia longinaris,Demersal
690029,Ensis directus,Demersal
690030,Argopecten irradians,Demersal
690031,Cancer irroratus,Demersal
690032,Xiphopenaeus kroyeri,Demersal
690033,Spisula solidissima,Demersal
690036,Mytilus planulatus,Demersal
690039,Panulirus cygnus,Demersal
690042,Penaeus merguiensis,Demersal
690043,Pollicipes pollicipes,Demersal
690047,Menippe mercenaria,Demersal
690049,Haliotis rubra,Demersal
690050,Anadara granosa,Demersal
690051,Aristeus antennatus,Demersal
690052,Callinectes sapidus,Demersal
690053,Mytilus edulis,Demersal
690054,Penaeus stylirostris,Demersal
690055,Portunus pelagicus,Demersal
690058,Artemia salina,Demersal
690059,Illex coindetii,Pelagic
690060,Perna viridis,Demersal
690064,Saxidomus giganteus,Demersal
690065,Argopecten gibbus,Demersal
690067,Loligo vulgaris,Pelagic
690069,Jasus lalandii,Demersal
690070,Penaeus kerathurus,Demersal
690071,Panulirus argus,Demersal
690075,Ostrea chilensis,Demersal
690076,Mytilus chilensis,Demersal
690077,Heterocarpus reedi,Demersal
690078,Loxechinus albus,Demersal
690081,Aulacomya ater,Demersal
690082,Choromytilus chorus,Demersal
690085,Sepia officinalis,Pelagic
690087,Cardium edule,Demersal
690088,Octopus vulgaris,Demersal
690089,Littorina littorea,Demersal
690090,Palaemon serratus,Demersal
690091,Crangon crangon,Demersal
690092,Palinurus elephas,Demersal
690100,Penaeus brevirostris,Demersal
690105,Callinectes danae,Demersal
690109,Parapenaeus longirostris,Demersal
690115,Cancer magister,Demersal
690119,Cancer pagurus,Demersal
690120,Metapenaeus endeavouri,Demersal
690122,Echinus esculentus,Demersal
690123,Ostrea edulis,Demersal
690124,Todarodes sagittatus,Pelagic
690125,Homarus gammarus,Demersal
690126,Solen vagina,Demersal
690127,Concholepas concholepas,Demersal
690133,Penaeus chinensis,Demersal
690143,Portunus trituberculatus,Demersal
690146,Haliotis gigantea,Demersal
690151,Penaeus monodon,Demersal
690156,Pecten maximus,Demersal
690157,Pecten jacobaeus,Demersal
690158,Carcinus maenas,Demersal
690161,Jasus verreauxi,Demersal
690163,Penaeus semisulcatus,Demersal
690166,Ruditapes decussatus,Demersal
690167,Microcosmus sulcatus,Demersal
690168,Parapenaeopsis atlantica,Demersal
690169,Scapharca subcrenata,Demersal
690176,Mactra sachalinensis,Demersal
690180,Turbo cornutus,Demersal
690182,Limulus polyphemus,Demersal
690185,Chlamys islandica,Demersal
690189,Penaeus indicus,Demersal
690190,Scylla serrata,Demersal
690194,Haliporoides sibogae,Demersal
690196,Ruditapes philippinarum,Demersal
690198,Todarodes pacificus,Pelagic
690199,Meretrix lusoria,Demersal
690201,Apostichopus japonicus,Demersal
690203,Cancer borealis,Demersal
690205,Jasus frontalis,Demersal
690206,Dosidicus gigas,Pelagic
690215,Haliporoides triarthrus,Demersal
690217,Solenocera agassizii,Demersal
690218,Mytilus coruscus,Demersal
690219,Penaeus japonicus,Demersal
690227,Loligo pealeii,Pelagic
690228,Panulirus longipes,Demersal
690230,Mesodesma donacium,Demersal
690232,Crassostrea rhizophorae,Demersal
690241,Mytilus galloprovincialis,Demersal
690242,Carcinus aestuarii,Demersal
690249,Metanephrops mozambicus,Demersal
690253,Palinurus delagoae,Demersal
690256,Ostrea lutaria,Demersal
690257,Metanephrops challengeri,Demersal
690259,Pecten novaezelandiae,Demersal
690265,Penaeus aztecus,Demersal
690268,Penaeus duorarum,Demersal
690269,Pandalus borealis,Demersal
690270,Mercenaria mercenaria,Demersal
690271,Illex illecebrosus,Pelagic
690272,Penaeus setiferus,Demersal
690273,Nephrops norvegicus,Demersal
690274,Meganyctiphanes norvegica,Pelagic
690275,Arctica islandica,Demersal
690279,Ostrea lurida,Demersal
690282,Argopecten circularis,Demersal
690283,Crassostrea gigas,Demersal
690284,Panopea abrupta,Demersal
690285,Protothaca staminea,Demersal
690286,Siliqua patula,Demersal
690287,Cancer productus,Demersal
690288,Xiphopenaeus riveti,Demersal
690296,Loligo gahi,Pelagic
690302,Haliotis midae,Demersal
690303,Argopecten purpuratus,Demersal
690305,Palinurus mauritanicus,Demersal
690309,Tapes pullastra,Demersal
690313,Chionoecetes opilio,Demersal
690314,Chlamys opercularis,Demersal
690318,Pyura stolonifera,Demersal
690320,Geryon quinquedens,Demersal
690321,Jasus edwardsii,Demersal
690322,Pyura chilensis,Demersal
690325,Paralomis aculeata,Demersal
690327,Penaeus brasiliensis,Demersal
690328,Penaeus penicillatus,Demersal
690332,Mytilus platensis,Demersal
690334,Sicyonia brevirostris,Demersal
690335,Pleoticus robustus,Demersal
690336,Panulirus regius,Demersal
690337,Mya arenaria,Demersal
690338,Penaeus paulensis,Demersal
690341,Panulirus homarus,Demersal
690343,Plesiopenaeus edwardsianus,Demersal
690354,Martialia hyadesi,Pelagic
690356,Metapenaeus joyneri,Demersal
690364,Crassostrea iredalei,Demersal
690370,Paralomis granulosa,Demersal
690374,Perna perna,Demersal
690377,Lithodes antarcticus,Demersal
690378,Penaeus notialis,Demersal
690379,Trachypenaeus curvirostris,Demersal
690381,Palinurus gichristi,Demersal
690383,Metapenaeus monoceros,Demersal
690387,Maja squinado,Demersal
690392,Squilla mantis,Demersal
690398,Spisula polynyma,Demersal
690399,Lithodes maia,Demersal
690400,Paracentrotus lividus,Demersal
690403,Aristeus varidens,Demersal
690404,Venus (=Chamelea) gallina,Demersal
690406,Lithodes murrayi,Demersal
690411,Protothaca thaca,Demersal
690416,Jasus tristani,Demersal
690420,Haliotis tuberculata,Demersal
690423,Chlamys varia,Demersal
690425,Necora puber,Demersal
690429,Patinopecten caurinus,Demersal
690430,Nototodarus sloanii,Pelagic
690432,Penaeus latisulcatus,Demersal
690433,Penaeus occidentalis,Demersal
690434,Buccinum undatum,Demersal
690440,Penaeus vannamei,Demersal
690444,Penaeus californiensis,Demersal
690445,Pecten yessoensis,Demersal
690455,Paralomis formosa,Demersal
690470,Ommastrephes bartramii,Pelagic
690595,Loligo forbesii,Pelagic
690598,Scyllarides latus,Demersal
690599,Thais haemastoma,Demersal
690606,Cervimunida johni,Demersal
690608,Erimacrus isenbeckii,Demersal
690609,Haliporoides diomedeae,Demersal
690610,Heterocarpus vicarius,Demersal
690611,Ibacus ciliatus,Demersal
690612,Lithodes aequispina,Demersal
690613,Megabalanus psittacus,Demersal
690614,Mithrax armatus,Demersal
690615,Pandalopsis japonica,Demersal
690616,Pandalus goniurus,Demersal
690617,Pandalus hypsinotus,Demersal
690618,Pandalus kessleri,Demersal
690619,Panulirus gracilis,Demersal
690620,Paralithodes brevipes,Demersal
690621,Paralithodes camtschaticus,Demersal
690622,Paralithodes platypus,Demersal
690624,Pleuroncodes monodon,Demersal
690625,Pleuroncodes planipes,Demersal
690627,Sciaena gilberti,Demersal
690628,Sicyonia ingentis,Demersal
690629,Tivela mactroides,Demersal
690631,Spisula ovalis,Demersal
690649,Anadara ovalis,Demersal
690651,Clinocardium nuttallii,Demersal
690658,Loligo opalescens,Pelagic
690665,Upogebia pugettensis,Demersal
690671,Spisula solida,Demersal
690674,Zidona dufresnei,Demersal
690675,Tapes rhomboides,Demersal
690676,Liocarcinus depurator,Demersal
690677,Semele solida,Demersal
690678,Glycymeris glycymeris,Demersal
690679,Zygochlamys delicatula,Demersal
690680,Palaemon longirostris,Demersal
690681,Thenus orientalis,Demersal
690682,Tawera gayi,Demersal
690683,Aristaeomorpha foliacea,Demersal
690684,Eledone cirrhosa,Pelagic
690685,Charonia lampas rubicunda,Demersal
690686,Zygochlamys patagonica,Demersal
690687,Scrobicularia plana,Demersal
690688,Paphies australis,Demersal
690689,Bolinus (Murex) brandaris,Demersal
690690,Callista chione,Demersal
690691,Jasus paulensis,Demersal
690692,Chione stutchburyi,Demersal
690693,Venus verrucosa,Demersal
690694,Nematopalaemon schmitti,Demersal
690696,Jasus novaehollandiae,Demersal
690750,Tonna galea,Demersal
690751,Pitar rostratus,Demersal
