TaxonKey,TaxonName,DemPel
600367,Trachurus murphyi,Pelagic
600368,Trachurus symmetricus,Pelagic
600369,Trachurus lathami,Demersal
600371,Trachurus trecae,Demersal
600372,Trachurus declivis,Demersal
600374,Decapterus russelli,Pelagic
600378,Selene setapinnis,Demersal
600379,Selene dorsalis,Demersal
600380,Trachinotus carolinus,Demersal
600382,Seriola lalandi,Demersal
600384,Megalaspis cordyla,Pelagic
600385,Chloroscombrus chrysurus,Pelagic
600386,Parona signata,Demersal
600387,Selar crumenophthalmus,Pelagic
600388,Selaroides leptolepis,Pelagic
600390,Mene maculata,Demersal
600391,Brama brama,Pelagic
600392,Arripis georgianus,Pelagic
600394,Dicentrarchus punctatus,Pelagic
600395,Emmelichthys nitidus,Demersal
600396,Nemipterus virgatus,Demersal
600397,Isacia conceptionis,Demersal
600398,Plectorhinchus mediterraneus,Demersal
600399,Pomadasys argenteus,Demersal
600400,Brachydeuterus auritus,Demersal
600401,Conodon nobilis,Demersal
600403,Cynoscion analis,Demersal
600405,Cynoscion nebulosus,Demersal
600406,Cynoscion regalis,Demersal
600407,Cynoscion striatus,Demersal
600408,Micropogonias undulatus,Demersal
600410,Menticirrhus saxatilis,Demersal
600411,Menticirrhus littoralis,Demersal
600412,Elagatis bipinnulata,Pelagic
600413,Umbrina canosai,Demersal
600416,Larimichthys polyactis,Demersal
600417,Macrodon ancylodon,Demersal
600418,Argyrosomus regius,Demersal
600419,Argyrosomus hololepidotus,Demersal
600420,Atractoscion aequidens,Demersal
600422,Genyonemus lineatus,Demersal
600423,Pteroscion peli,Demersal
600424,Paralonchurus peruanus,Demersal
600425,Pogonias cromis,Demersal
600426,Epinephelus aeneus,Demersal
600427,Nibea mitsukurii,Demersal
600428,Larimichthys croceus,Demersal
600429,Leiostomus xanthurus,Demersal
600432,Pseudotolithus senegalensis,Demersal
600433,Pseudotolithus elongatus,Demersal
600434,Pennahia argentata,Demersal
600436,Pagellus bellottii bellottii,Demersal
600438,Dentex macrophthalmus,Demersal
600439,Dentex dentex,Demersal
600440,Dentex angolensis,Demersal
600441,Archosargus probatocephalus,Demersal
600442,Argyrops spinifer,Demersal
600443,Argyrozona argyrozona,Demersal
600444,Cheimerius nufar,Demersal
600447,Petrus rupestris,Demersal
600448,Pterogymnus laniarius,Demersal
600449,Rhabdosargus globiceps,Demersal
600450,Lithognathus lithognathus,Demersal
600452,Stenotomus chrysops,Demersal
600453,Pseudupeneus prayensis,Demersal
600454,Drepane punctata,Demersal
600455,Drepane africana,Demersal
600458,Tautoga onitis,Demersal
600460,Nemadactylus bergi,Demersal
600461,Cheilodactylus variegatus,Demersal
600463,Arctoscopus japonicus,Demersal
600464,Parapercis colias,Demersal
600465,Percophis brasiliensis,Demersal
600466,Eleginops maclovinus,Demersal
600467,Dissostichus eleginoides,Demersal
600468,Notothenia rossii,Demersal
600472,Pleuragramma antarcticum,Pelagic
600473,Chaenocephalus aceratus,Demersal
600474,Champsocephalus gunnari,Pelagic
600475,Pseudochaenichthys georgianus,Demersal
600476,Chionodraco rastrospinosus,Demersal
600477,Channichthys rhinoceratus,Demersal
600478,Chaenodraco wilsoni,Demersal
600479,Zoarces viviparus,Demersal
600480,Zoarces americanus,Demersal
600481,Trisopterus minutus,Demersal
600482,Genypterus blacodes,Demersal
600483,Genypterus chilensis,Demersal
600484,Genypterus maculatus,Demersal
600485,Genypterus capensis,Demersal
600486,Brotula barbata,Demersal
600487,Ammodytes personatus,Demersal
600488,Hypoptychus dybowskii,Demersal
600489,Thyrsites atun,Demersal
600490,Thyrsitops lepidopoides,Demersal
600491,Pampus argenteus,Demersal
600492,Peprilus triacanthus,Demersal
600493,Peprilus simillimus,Demersal
600496,Hyperoglyphe antarctica,Demersal
600497,Psenopsis anomala,Demersal
600501,Sebastes marinus,Demersal
600502,Sebastes entomelas,Pelagic
600503,Sebastes flavidus,Demersal
600504,Sebastes alutus,Demersal
600505,Sebastes mentella,Pelagic
600507,Chelidonichthys kumu,Demersal
600508,Pterygotrigla polyommata,Demersal
600509,Ophiodon elongatus,Demersal
600510,Pleurogrammus azonus,Demersal
600512,Anoplopoma fimbria,Demersal
600513,Psettodes erumei,Demersal
600514,Hippoglossus stenolepis,Demersal
600516,Reinhardtius hippoglossoides,Demersal
600517,Atheresthes stomias,Demersal
600518,Reinhardtius evermanni,Demersal
600519,Hippoglossoides elassodon,Demersal
600520,Limanda aspera,Demersal
600521,Limanda ferruginea,Demersal
600524,Pseudopleuronectes americanus,Demersal
600525,Solea solea,Demersal
600526,Dicologlossa cuneata,Demersal
600527,Austroglossus microlepis,Demersal
600528,Austroglossus pectoralis,Demersal
600529,Scophthalmus rhombus,Demersal
600530,Scophthalmus aquosus,Demersal
600531,Stephanolepis cirrhifer,Demersal
600532,Lophius americanus,Demersal
600545,Anchoa mitchilli,Pelagic
600547,Cetengraulis edentulus,Pelagic
600548,Cetengraulis mysticetus,Pelagic
600572,Labrus bergylta,Demersal
600636,Heptranchias perlo,Demersal
600637,Hexanchus griseus,Demersal
600641,Echinorhinus brucus,Demersal
600645,Lepidopus caudatus,Demersal
600646,Aphanopus carbo,Demersal
600648,Centrophorus granulosus,Demersal
600650,Centrophorus lusitanicus,Demersal
600653,Centrophorus squamosus,Demersal
600656,Centroscyllium fabricii,Demersal
600662,Centroscymnus coelolepis,Demersal
600663,Centroscymnus crepidater,Demersal
600664,Centroscymnus cryptacanthus,Demersal
600669,Dalatias licha,Demersal
600670,Deania calcea,Demersal
600679,Etmopterus granulosus,Demersal
600687,Etmopterus spinax,Demersal
600692,Lichia amia,Pelagic
600695,Limanda limanda,Demersal
600700,Scymnodon ringens,Demersal
600704,Somniosus rostratus,Demersal
600706,Lithognathus mormyrus,Demersal
600716,Lophius piscatorius,Demersal
600718,Oxynotus centrina,Demersal
600719,Oxynotus paradoxus,Demersal
600727,Squatina argentina,Demersal
600736,Squatina squatina,Demersal
600747,Carcharias taurus,Demersal
600751,Carcharodon carcharias,Demersal
600752,Isurus oxyrinchus,Demersal
600753,Isurus paucus,Demersal
600754,Maurolicus muelleri,Pelagic
600785,Mugil cephalus,Demersal
600790,Mullus barbatus,Demersal
600807,Galeus melastomus,Demersal
600817,Halaelurus canescens,Demersal
600845,Scyliorhinus canicula,Demersal
600850,Oblada melanura,Demersal
600854,Scyliorhinus stellaris,Demersal
600864,Carcharhinus brachyurus,Demersal
600868,Carcharhinus falciformis,Demersal
600874,Carcharhinus limbatus,Demersal
600875,Carcharhinus longimanus,Demersal
600878,Carcharhinus obscurus,Demersal
600880,Carcharhinus plumbeus,Demersal
600884,Carcharhinus sorrah,Demersal
600886,Galeocerdo cuvier,Demersal
600889,Pagellus acarne,Demersal
600890,Pagellus bogaraveo,Demersal
600893,Pagellus erythrinus,Demersal
600897,Negaprion brevirostris,Demersal
600898,Prionace glauca,Demersal
600912,Sphyrna lewini,Demersal
600917,Sphyrna zygaena,Demersal
600940,Dasyatis akajei,Demersal
600941,Atrobucca nibe,Demersal
600950,Platycephalus indicus,Demersal
600972,Ablennes hians,Pelagic
600977,Tylosurus crocodilus,Pelagic
600983,Caulolatilus chrysops,Demersal
601002,Pseudocaranx dentex,Demersal
601005,Seriola dumerili,Demersal
601023,Trisopterus esmarkii,Demersal
601042,Lepidocybium flavobrunneum,Pelagic
601043,Sardinella aurita,Pelagic
601044,Ruvettus pretiosus,Demersal
601047,Sardinella maderensis,Pelagic
601055,Saurida undosquamis,Demersal
601059,Hemiramphus brasiliensis,Pelagic
601072,Lampris guttatus,Pelagic
601077,Lobotes surinamensis,Demersal
601079,Megalops atlanticus,Pelagic
601080,Merluccius albidus,Demersal
601084,Scomberesox saurus,Pelagic
601090,Mugil liza,Demersal
601133,Anchoa hepsetus,Pelagic
601164,Sparus auratus,Demersal
601181,Sphoeroides maculatus,Demersal
601191,Sciaenops ocellatus,Demersal
601198,Stromateus fiatola,Demersal
601203,Diplectrum formosum,Demersal
601205,Epinephelus flavolimbatus,Demersal
601207,Epinephelus nigritus,Demersal
601208,Epinephelus niveatus,Demersal
601209,Mycteroperca bonaci,Demersal
601212,Mycteroperca microlepis,Demersal
601213,Mycteroperca phenax,Demersal
601216,Mycteroperca venenosa,Demersal
601219,Archosargus rhomboidalis,Demersal
601235,Sphyraena barracuda,Demersal
601265,Naso unicornis,Demersal
601278,Trachurus mediterraneus,Pelagic
601279,Trachurus picturatus,Demersal
601288,Trichiurus lepturus,Demersal
601290,Ciliata mustela,Demersal
601300,Ariomma indica,Demersal
601306,Umbrina cirrosa,Demersal
601319,Beryx decadactylus,Demersal
601320,Beryx splendens,Demersal
601321,Bothus pantherinus,Demersal
601327,Mullus surmuletus,Demersal
601334,Osmerus eperlanus,Pelagic
601336,Pegusa lascaris,Demersal
601338,Paralichthys dentatus,Demersal
601340,Phycis blennoides,Demersal
601341,Platichthys flesus,Demersal
601342,Pleuronectes platessus,Demersal
601343,Pollachius virens,Demersal
601348,Scophthalmus maximus,Demersal
601350,Sardina pilchardus,Pelagic
601351,Paralichthys olivaceus,Demersal
601352,Sebastes viviparus,Demersal
601353,Serranus cabrilla,Demersal
601356,Spondyliosoma cantharus,Demersal
601357,Sprattus sprattus,Pelagic
601363,Trachinus draco,Demersal
601365,Trachurus trachurus,Pelagic
601366,Chelidonichthys lucerna,Demersal
601367,Trisopterus luscus,Demersal
601370,Zeus faber,Demersal
